strain	galbut	day	replicate	number_alive	number_valid_flies
25192	TRUE	1	1	10	10
25192	TRUE	1	2	10	10
25192	TRUE	1	3	10	10
25192	TRUE	1	4	7	7
25192	TRUE	1	5	10	10
25192	TRUE	2	1	10	10
25192	TRUE	2	2	10	10
25192	TRUE	2	3	10	10
25192	TRUE	2	4	7	7
25192	TRUE	2	5	10	10
25192	TRUE	3	1	10	10
25192	TRUE	3	2	10	10
25192	TRUE	3	3	10	10
25192	TRUE	3	4	7	7
25192	TRUE	3	5	10	10
25192	TRUE	4	1	10	10
25192	TRUE	4	2	10	10
25192	TRUE	4	3	10	10
25192	TRUE	4	4	7	7
25192	TRUE	4	5	10	10
25192	TRUE	5	1	9	10
25192	TRUE	5	2	10	10
25192	TRUE	5	3	10	10
25192	TRUE	5	4	7	7
25192	TRUE	5	5	10	10
25192	TRUE	6	1	9	10
25192	TRUE	6	2	10	10
25192	TRUE	6	3	10	10
25192	TRUE	6	4	7	7
25192	TRUE	6	5	10	10
25192	TRUE	7	1	9	10
25192	TRUE	7	2	10	10
25192	TRUE	7	3	10	10
25192	TRUE	7	4	7	7
25192	TRUE	7	5	9	10
25192	TRUE	8	1	9	10
25192	TRUE	8	2	10	10
25192	TRUE	8	3	10	10
25192	TRUE	8	4	7	7
25192	TRUE	8	5	9	10
25192	TRUE	9	1	9	10
25192	TRUE	9	2	10	10
25192	TRUE	9	3	10	10
25192	TRUE	9	4	7	7
25192	TRUE	9	5	9	10
25192	TRUE	10	1	9	10
25192	TRUE	10	2	10	10
25192	TRUE	10	3	10	10
25192	TRUE	10	4	7	7
25192	TRUE	10	5	9	10
25192	TRUE	11	1	9	10
25192	TRUE	11	2	10	10
25192	TRUE	11	3	10	10
25192	TRUE	11	4	7	7
25192	TRUE	11	5	9	10
25192	TRUE	12	1	9	10
25192	TRUE	12	2	10	10
25192	TRUE	12	3	10	10
25192	TRUE	12	4	7	7
25192	TRUE	12	5	9	10
25192	TRUE	13	1	9	10
25192	TRUE	13	2	10	10
25192	TRUE	13	3	10	10
25192	TRUE	13	4	7	7
25192	TRUE	13	5	8	10
25192	TRUE	14	1	9	10
25192	TRUE	14	2	10	10
25192	TRUE	14	3	10	10
25192	TRUE	14	4	7	7
25192	TRUE	14	5	8	10
25192	TRUE	15	1	9	10
25192	TRUE	15	2	10	10
25192	TRUE	15	3	10	10
25192	TRUE	15	4	7	7
25192	TRUE	15	5	8	10
25192	TRUE	16	1	9	10
25192	TRUE	16	2	10	10
25192	TRUE	16	3	10	10
25192	TRUE	16	4	7	7
25192	TRUE	16	5	8	10
25192	TRUE	17	1	9	10
25192	TRUE	17	2	10	10
25192	TRUE	17	3	10	10
25192	TRUE	17	4	7	7
25192	TRUE	17	5	8	10
25192	TRUE	18	1	9	10
25192	TRUE	18	2	10	10
25192	TRUE	18	3	10	10
25192	TRUE	18	4	7	7
25192	TRUE	18	5	8	10
25192	TRUE	19	1	9	10
25192	TRUE	19	2	10	10
25192	TRUE	19	3	10	10
25192	TRUE	19	4	7	7
25192	TRUE	19	5	8	10
25192	TRUE	20	1	9	10
25192	TRUE	20	2	10	10
25192	TRUE	20	3	10	10
25192	TRUE	20	4	7	7
25192	TRUE	20	5	8	10
25192	TRUE	21	1	9	10
25192	TRUE	21	2	10	10
25192	TRUE	21	3	9	10
25192	TRUE	21	4	7	7
25192	TRUE	21	5	8	10
25192	TRUE	22	1	9	10
25192	TRUE	22	2	10	10
25192	TRUE	22	3	9	10
25192	TRUE	22	4	7	7
25192	TRUE	22	5	8	10
25192	TRUE	23	1	9	10
25192	TRUE	23	2	10	10
25192	TRUE	23	3	9	10
25192	TRUE	23	4	7	7
25192	TRUE	23	5	8	10
25192	TRUE	24	1	8	10
